1002 1 "Not Employed"
1003 0 Employed
1004 0 Employed
1005 0 Employed
1008 0 Employed
1013 0 Employed
1015 1 "Not Employed"
1016 0 Employed
1018 1 "Not Employed"
1020 0 Employed
1022 1 "Not Employed"
1024 0 Employed
1025 0 Employed
1027 1 "Not Employed"
1033 0 Employed
1034 1 "Not Employed"
1036 1 "Not Employed"
1039 0 Employed
1041 0 Employed
1042 0 Employed
1044 0 Employed
1045 1 "Not Employed"
1047 0 Employed
1052 0 Employed
1053 1 "Not Employed"
1054 0 Employed
1055 0 Employed
1057 0 Employed
1058 1 "Not Employed"
1059 1 "Not Employed"
1060 1 "Not Employed"
1061 0 Employed
1062 1 "Not Employed"
1064 0 Employed
1065 1 "Not Employed"
1067 1 "Not Employed"
1069 0 Employed
1073 0 Employed
1075 1 "Not Employed"
1076 1 "Not Employed"
1077 1 "Not Employed"
1078 1 "Not Employed"
1079 0 Employed
1081 0 Employed
1082 0 Employed
1083 0 Employed
1086 0 Employed
1091 1 "Not Employed"
1093 0 Employed
1094 0 Employed
1096 0 Employed
1099 1 "Not Employed"
1102 1 "Not Employed"
1107 0 Employed
1108 0 Employed
1109 0 Employed
1110 1 "Not Employed"
1112 0 Employed
1115 1 "Not Employed"
1120 1 "Not Employed"
1121 1 "Not Employed"
1122 1 "Not Employed"
1123 1 "Not Employed"
1124 0 Employed
1126 0 Employed
1130 0 Employed
1132 1 "Not Employed"
1133 0 Employed
1134 0 Employed
1136 1 "Not Employed"
1138 0 Employed
1139 0 Employed
1140 1 "Not Employed"
1141 0 Employed
1143 0 Employed
1144 0 Employed
1152 0 Employed
1153 0 Employed
1156 0 Employed
1157 1 "Not Employed"
1159 1 "Not Employed"
1160 1 "Not Employed"
1161 0 Employed
1164 0 Employed
1165 1 "Not Employed"
1166 1 "Not Employed"
1168 1 "Not Employed"
1170 1 "Not Employed"
1174 1 "Not Employed"
1176 0 Employed
1178 1 "Not Employed"
1179 1 "Not Employed"
1180 0 Employed
1182 0 Employed
1183 0 Employed
1184 1 "Not Employed"
1185 1 "Not Employed"
1191 0 Employed
1196 0 Employed
1197 1 "Not Employed"
1198 1 "Not Employed"
1199 1 "Not Employed"
1200 0 Employed
1202 1 "Not Employed"
1203 0 Employed
1212 1 "Not Employed"
1219 0 Employed
1222 1 "Not Employed"
1224 1 "Not Employed"
1225 1 "Not Employed"
1227 0 Employed
1229 0 Employed
1230 1 "Not Employed"
1231 1 "Not Employed"
1233 0 Employed
1234 0 Employed
1235 1 "Not Employed"
1236 1 "Not Employed"
1238 0 Employed
1239 0 Employed
1241 1 "Not Employed"
